Generation, Score of model 0, Average, Score retained
1, 0.02159862592816353, 0.02159862592816353, 0.02159862592816353
2, 0.016941402107477188, 0.016941402107477188, 0.016941402107477188
3, 0.008359001949429512, 0.008359001949429512, 0.008359001949429512
4, 0.00553014175966382, 0.00553014175966382, 0.00553014175966382
5, 0.007841876707971096, 0.007841876707971096, 0.00553014175966382
6, 0.012256509624421597, 0.012256509624421597, 0.00553014175966382
7, 0.007947346195578575, 0.007947346195578575, 0.00553014175966382
8, 0.009863976389169693, 0.009863976389169693, 0.00553014175966382
9, 0.00669602956622839, 0.00669602956622839, 0.00553014175966382
10, 0.00626882491633296, 0.00626882491633296, 0.00553014175966382
11, 0.00554894981905818, 0.00554894981905818, 0.00553014175966382
12, 0.018598167225718498, 0.018598167225718498, 0.00553014175966382
13, 0.009120811708271503, 0.009120811708271503, 0.00553014175966382
14, 0.0106883579865098, 0.0106883579865098, 0.00553014175966382
15, 0.01784619130194187, 0.01784619130194187, 0.00553014175966382
16, 0.018370404839515686, 0.018370404839515686, 0.00553014175966382
