Generation, Score of model 0, Score of model 1, Score of model 2, Score of model 3, Score of model 4, Average, Score retained
1, 1.0038468837738037, 0.08638599514961243, 0.7036349177360535, 0.17154301702976227, 0.08087626844644547, 0.4092574164271354, 0.08087626844644547
2, 0.74876469373703, 0.27289095520973206, 0.6581462621688843, 0.10749819129705429, 0.09334978461265564, 0.3761299774050713, 0.08087626844644547
3, 1.315500020980835, 1.628405213356018, 0.10356233268976212, 0.08300898969173431, 0.10085251182317734, 0.6462658137083054, 0.08087626844644547
4, 0.6795679330825806, 0.6374596953392029, 0.12912726402282715, 0.09701079875230789, 0.11200165748596191, 0.3310334697365761, 0.08087626844644547
5, 0.226849764585495, 0.2934134006500244, 0.39410755038261414, 0.18240658938884735, 0.1594403237104416, 0.2512435257434845, 0.08087626844644547
6, 1.051615834236145, 0.12843038141727448, 1.1918624639511108, 0.12782911956310272, 0.07439744472503662, 0.5148270487785339, 0.07439744472503662
7, 0.36100807785987854, 2.6260149478912354, 1.0186947584152222, 0.06578786671161652, 0.09451768547296524, 0.8332046672701835, 0.06578786671161652
8, 1.1067851781845093, 0.33648544549942017, 1.4100706577301025, 0.5879653096199036, 0.08446977287530899, 0.7051552727818489, 0.06578786671161652
9, 1.4020264148712158, 0.34930527210235596, 0.20082278549671173, 0.1374647319316864, 0.14312927424907684, 0.44654969573020936, 0.06578786671161652
10, 1.256242036819458, 0.31307750940322876, 0.1127869114279747, 0.1114397794008255, 1.8913981914520264, 0.7369888857007026, 0.06578786671161652
11, 1.9417873620986938, 0.30446720123291016, 0.537195086479187, 0.14051449298858643, 0.1456955224275589, 0.6139319330453874, 0.06578786671161652
12, 0.7631469964981079, 1.5632907152175903, 0.18039003014564514, 0.0821237564086914, 0.09749990701675415, 0.5372902810573578, 0.06578786671161652
13, 0.22664348781108856, 0.15098173916339874, 0.10794160515069962, 0.0831073671579361, 1.0623589754104614, 0.32620663493871693, 0.06578786671161652
14, 0.32358846068382263, 0.1398303508758545, 0.07491792738437653, 0.14030678570270538, 0.12560519576072693, 0.16084974408149721, 0.06578786671161652
15, 1.1211612224578857, 0.17437037825584412, 0.10769955813884735, 2.942082166671753, 0.15397654473781586, 0.8998579740524293, 0.06578786671161652
16, 0.5154849886894226, 0.817813515663147, 0.08254293352365494, 2.2906198501586914, 0.12855477631092072, 0.7670032128691673, 0.06578786671161652
17, 1.3638445138931274, 0.17534802854061127, 0.20649275183677673, 0.16869880259037018, 2.2379250526428223, 0.8304618299007416, 0.06578786671161652
18, 1.607534646987915, 0.9620445370674133, 0.11055406183004379, 0.09640942513942719, 0.6392947435379028, 0.6831674829125405, 0.06578786671161652
19, 1.8789126873016357, 0.12852707505226135, 0.07527992874383926, 0.12403202056884766, 0.08877966552972794, 0.4591062754392624, 0.06578786671161652
20, 1.152000904083252, 0.5800290703773499, 0.16432151198387146, 0.08301183581352234, 1.5012438297271729, 0.6961214303970338, 0.06578786671161652
21, 0.5136094689369202, 0.22273024916648865, 1.4117687940597534, 0.49309882521629333, 0.10047552734613419, 0.548336572945118, 0.06578786671161652
22, 0.2479567974805832, 0.3043292462825775, 1.351407766342163, 1.0920747518539429, 0.08398918062448502, 0.6159515485167504, 0.06578786671161652
23, 0.5573495626449585, 0.22793421149253845, 0.14084145426750183, 0.8023383021354675, 0.09037703275680542, 0.36376811265945436, 0.06578786671161652
24, 0.990478515625, 0.7961694598197937, 0.15132874250411987, 0.23476147651672363, 0.0814547911286354, 0.4508385971188545, 0.06578786671161652
25, 0.5751872658729553, 1.2760919332504272, 0.14246687293052673, 0.12893638014793396, 0.1042727380990982, 0.4453910380601883, 0.06578786671161652
