Generation, Score of model 0, Score of model 1, Score of model 2, Average, Score retained
1, 0.2092309445142746, 0.33588922023773193, 0.282018780708313, 0.2757129818201065, 0.2092309445142746
2, 0.13645853102207184, 0.2872471213340759, 0.35207152366638184, 0.2585923920075099, 0.13645853102207184
3, 0.29349997639656067, 0.4495267868041992, 0.3837597668170929, 0.3755955100059509, 0.13645853102207184
4, 0.28009405732154846, 0.2953536808490753, 0.21841762959957123, 0.2646217892567317, 0.13645853102207184
5, 0.3686397075653076, 0.43525591492652893, 0.27875804901123047, 0.360884557167689, 0.13645853102207184
6, 0.3957298994064331, 0.5054284334182739, 0.26606133580207825, 0.38907322287559504, 0.13645853102207184
7, 0.613908052444458, 0.4433179795742035, 0.3814656138420105, 0.47956388195355737, 0.13645853102207184
8, 0.4580760896205902, 0.46887895464897156, 0.3397325575351715, 0.42222920060157776, 0.13645853102207184
9, 0.22253483533859253, 0.2800326943397522, 0.33797481656074524, 0.28018078207969666, 0.13645853102207184
10, 0.18862394988536835, 0.2642902433872223, 0.5284298062324524, 0.327114666501681, 0.13645853102207184
11, 0.3891085982322693, 0.4309193193912506, 0.39557990431785583, 0.4052026073137919, 0.13645853102207184
12, 0.1288495510816574, 0.5051041841506958, 0.22215865552425385, 0.285370796918869, 0.1288495510816574
13, 0.5860286355018616, 0.4648517072200775, 0.4245946705341339, 0.491825004418691, 0.1288495510816574
14, 0.22763581573963165, 0.29972395300865173, 0.4842008054256439, 0.33718685805797577, 0.1288495510816574
15, 0.43827542662620544, 0.43951332569122314, 0.3231569826602936, 0.40031524499257404, 0.1288495510816574
16, 0.37034884095191956, 0.26561471819877625, 0.22911976277828217, 0.2883611073096593, 0.1288495510816574
17, 0.3896484971046448, 0.42261162400245667, 0.26865020394325256, 0.36030344168345135, 0.1288495510816574
18, 0.3426092565059662, 0.44257426261901855, 0.2768334448337555, 0.3540056546529134, 0.1288495510816574
19, 0.32121410965919495, 0.28182151913642883, 0.4012667238712311, 0.33476745088895166, 0.1288495510816574
20, 0.4103167951107025, 0.178450345993042, 0.37703344225883484, 0.3219335277875265, 0.1288495510816574
21, 0.1713104546070099, 0.3867592215538025, 0.3563871681690216, 0.3048189481099447, 0.1288495510816574
22, 0.35770365595817566, 0.1683363914489746, 0.38485607504844666, 0.3036320408185323, 0.1288495510816574
23, 0.2600898742675781, 0.5489789843559265, 0.33026808500289917, 0.37977898120880127, 0.1288495510816574
24, 0.23364759981632233, 0.5174823999404907, 0.4307554364204407, 0.3939618120590846, 0.1288495510816574
25, 0.40958744287490845, 0.41701605916023254, 0.3275678753852844, 0.38472379247347516, 0.1288495510816574
